name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7346,2785,0,1481,8748,1,49,98,62,1.0,1.0,0,20,20,52.389720000000004,4.87542,7,0,4,1.0,3.0,3.0,36,180.0,2,1125,0,0,0,0,0,7,0,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.13
16889,7274,5,1688,8748,1,49,98,79,1.0,1.0,0,7,7,52.36796,4.87299,7,0,3,1.0,2.0,2.0,13,160.0,2,30,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
11302,17881,0,1448,8748,1,49,98,51,1.0,1.0,0,18,18,52.359809999999996,4.84262,7,0,4,1.0,2.0,2.0,10,89.0,4,1125,0,0,0,0,0,16,0,0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.27
9978,14492,2,576,3085,1,49,98,17,1.0,1.0,2,8,8,52.35483,4.88786,7,0,2,1.0,1.0,1.0,15,81.0,2,7,0,0,0,0,0,10,0,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.17
11172,12499,1,1706,8748,1,49,18,49,1.0,1.0,0,7,7,52.3737,4.86054,7,0,4,1.5,4.0,3.0,18,200.0,3,21,0,0,0,0,0,7,1,0,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.13
1514,5781,0,1707,8748,1,49,2,64,1.0,1.0,2,21,21,52.345279999999995,4.860040000000001,12,0,2,1.0,1.0,1.0,24,88.0,2,1125,0,0,0,0,0,35,0,0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.58
11692,10959,2,1707,8748,1,49,98,79,1.0,1.0,0,20,20,52.380790000000005,4.8699,7,0,2,1.0,1.0,1.0,18,109.0,6,20,0,0,0,0,0,16,0,0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.3
6871,85,1,1200,1135,3,39,66,46,2.0,2.0,2,17,17,52.351690000000005,4.91337,7,0,4,1.0,2.0,2.0,29,147.0,2,100,0,4,4,4,4,56,5,0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,2,2,0,0,1.03
2379,16776,0,1593,5260,1,49,98,79,1.0,1.0,2,8,8,52.35521,4.895,7,0,4,3.0,2.0,4.0,11,220.0,4,14,0,0,0,0,0,1,0,0,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,1,0,0,0.02
17041,10316,0,1707,2567,2,2,0,46,1.0,1.0,2,17,17,52.35729,4.917619999999999,7,0,2,1.0,1.0,1.0,19,75.0,4,20,0,0,0,0,1,28,0,0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.47
17859,2253,2,1357,8748,1,49,98,31,1.0,1.0,0,5,5,52.37627,4.8787,7,0,2,1.0,1.0,1.0,12,95.0,3,16,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
13316,11261,1,1281,2209,1,49,98,49,2.0,2.0,0,7,7,52.36738,4.85334,27,2,2,2.0,1.0,1.0,10,80.0,1,1125,0,0,0,0,0,0,0,0,,,,,,,,2,0,2,0,
3804,6860,1,1321,765,1,49,0,46,1.0,1.0,2,17,17,52.35386,4.91941,7,0,4,1.0,1.0,1.0,19,88.0,60,80,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
7464,6093,2,724,8437,3,2,2,49,1.0,1.0,0,20,20,52.38067,4.87027,7,0,3,1.5,3.0,2.0,12,120.0,2,3,0,0,0,0,0,2,0,0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,1,1,0,0,0.03
16851,11712,0,1175,1911,1,49,98,79,1.0,1.0,2,5,5,52.36606,4.88055,7,0,2,1.0,1.0,1.0,15,115.0,3,1125,0,0,0,0,0,4,0,0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.07
3692,3391,0,1308,8748,1,49,98,79,1.0,1.0,2,14,14,52.36562,4.93211,7,0,2,1.0,1.0,1.0,15,87.0,2,1125,0,0,0,0,0,11,0,0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.29
13152,16408,0,784,6304,1,49,80,49,1.0,1.0,2,7,7,52.36035,4.86184,7,0,2,1.0,1.0,1.0,24,69.0,2,1000,0,0,0,0,0,54,4,0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.9
596,12299,4,1654,8578,1,49,98,49,1.0,1.0,2,7,7,52.37218,4.86238,7,0,3,1.0,2.0,3.0,29,150.0,3,1125,0,0,0,0,0,3,0,0,100.0,10.0,9.0,10.0,10.0,9.0,9.0,1,1,0,0,0.05
11953,11091,2,1281,2209,1,49,98,49,2.0,2.0,0,7,7,52.36717,4.85275,27,2,2,2.0,1.0,1.0,15,200.0,1,1125,0,0,0,0,0,0,0,0,,,,,,,,2,0,2,0,
16753,10914,1,870,7708,4,30,82,46,41.0,41.0,2,16,16,52.38961,4.916580000000001,7,0,3,1.0,2.0,2.0,15,109.0,4,1125,0,0,0,0,0,26,0,0,89.0,9.0,10.0,9.0,9.0,9.0,9.0,39,35,1,0,0.44
3025,12395,0,1708,5318,1,49,98,79,1.0,1.0,2,1,1,52.32127,4.96967,7,0,4,1.0,2.0,2.0,18,80.0,1,1125,0,0,0,0,0,46,0,0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.78
13664,16787,1,1708,262,1,49,98,47,1.0,1.0,2,13,13,52.42052,4.89127,41,2,2,1.5,1.0,1.0,17,64.0,2,5,0,0,0,0,0,21,0,0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1,0,1,0,0.35
2500,7711,0,1013,1613,1,49,98,79,1.0,1.0,2,2,2,52.37773,4.8486,7,0,2,1.0,1.0,1.0,22,89.0,3,1125,0,0,0,0,0,23,0,0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.39
5110,15678,4,592,534,3,2,71,79,1.0,1.0,2,8,8,52.34948,4.89065,7,0,4,1.5,2.0,3.0,32,195.0,4,31,0,0,0,0,0,45,1,0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.77
12475,11650,1,1708,122,4,2,2,49,4.0,4.0,2,7,7,52.37166,4.85383,27,2,1,1.0,1.0,1.0,17,28.0,3,1125,0,21,40,40,40,214,24,1,83.0,9.0,9.0,9.0,9.0,9.0,9.0,4,0,4,0,3.57
12089,11174,0,1194,4482,1,49,0,79,2.0,2.0,2,20,20,52.37372,4.86716,27,2,2,1.0,1.0,1.0,13,100.0,4,1125,0,29,59,89,89,28,0,0,96.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0,1,0,0.47
15532,13044,1,1708,122,4,2,2,49,4.0,4.0,2,7,7,52.37191,4.85401,27,2,3,1.0,1.0,2.0,17,30.0,2,1125,0,11,41,71,346,253,25,0,85.0,9.0,8.0,9.0,9.0,9.0,8.0,4,0,4,0,4.22
3251,3258,1,1115,8088,1,49,0,54,1.0,1.0,0,8,8,52.34429,4.89726,7,0,2,1.0,1.0,1.0,28,81.0,2,4,0,0,0,0,0,48,1,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.81
14720,11864,4,646,81,1,49,98,49,1.0,1.0,2,7,7,52.361959999999996,4.8621,7,0,4,1.0,3.0,3.0,8,171.0,3,1125,0,0,0,0,0,6,0,0,80.0,9.0,7.0,10.0,10.0,10.0,9.0,1,1,0,0,0.1
2797,14355,3,1709,8748,2,30,40,79,1.0,1.0,2,18,18,52.368109999999994,4.84201,7,0,4,1.5,4.0,4.0,25,107.0,2,1125,0,5,6,16,106,48,5,0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.81
