name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5609,295,0,357,525,2,27,64,129,16.0,16.0,2,14,14,22.27967,114.17786000000001,5,0,8,1.0,3.0,3.0,14,568.0,28,1125,0,30,60,90,180,0,0,0,,,,,,,,4,4,0,0,
2391,1344,0,787,837,3,1,47,11,369.0,369.0,0,9,9,22.32864,114.16009,23,2,2,1.0,1.0,1.0,4,266.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
4155,1294,0,787,837,3,1,47,11,369.0,369.0,0,16,16,22.31302,114.17197,23,2,2,1.0,1.0,1.0,4,100.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
2393,1339,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.27954,114.18263999999999,23,2,2,1.0,1.0,1.0,4,306.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
2307,3476,0,787,837,3,1,47,11,369.0,369.0,0,14,14,22.280479999999997,114.18637,23,2,2,1.0,1.0,1.0,4,226.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,340,37,242,61,
2389,2257,0,683,839,3,51,44,124,230.0,230.0,2,14,14,22.28025,114.18194,23,2,2,1.0,1.0,1.0,1,283.0,29,1125,0,30,60,90,365,0,0,0,,,,,,,,124,5,112,7,
4312,3201,0,683,839,3,51,44,124,230.0,230.0,2,0,0,22.28409,114.14283999999999,23,2,1,1.0,1.0,1.0,4,250.0,29,1125,0,30,60,90,365,0,0,0,,,,,,,,124,5,112,7,
3164,3082,0,604,304,4,1,59,107,24.0,24.0,2,16,16,22.30764,114.16638,5,0,4,1.0,,2.0,15,491.0,1,28,0,24,52,71,71,27,26,0,92.0,9.0,9.0,10.0,9.0,9.0,9.0,24,24,0,0,2.15
3483,4053,0,683,839,3,51,44,124,230.0,230.0,2,14,14,22.28031,114.18661999999999,23,2,1,1.0,1.0,1.0,8,226.0,29,1125,0,29,59,89,364,0,0,0,,,,,,,,124,5,112,7,
1677,331,0,129,502,3,52,44,66,266.0,266.0,0,0,0,22.28668,114.14492,23,2,2,1.0,1.0,1.0,4,296.0,29,1125,0,30,60,90,365,0,0,0,,,,,,,,287,19,260,8,
